Month,Return
February-2014,-0.94
March-2014,11.05
April-2014,0.67
May-2014,15.13
June-2014,14.29
July-2014,-4.6
August-2014,-2.6
September-2014,4.64
October-2014,7.39
November-2014,-2.17
December-2014,-2.88
January-2015,7.17
February-2015,6.02
March-2015,-7.43
April-2015,-2.0
May-2015,0.98
June-2015,-3.2
July-2015,1.76
August-2015,-7.7
September-2015,1.15
October-2015,-2.57
November-2015,5.59
December-2015,3.86
January-2016,4.53
February-2016,-11.86
March-2016,6.92
April-2016,3.13
May-2016,4.57
June-2016,8.63
July-2016,7.95
August-2016,4.6
September-2016,-4.16
October-2016,-0.79
November-2016,9.75
December-2016,-4.45
January-2017,12.59
February-2017,-7.04
March-2017,2.71
April-2017,5.27
May-2017,0.1
June-2017,1.32
July-2017,5.94
August-2017,-2.11
September-2017,-3.53
October-2017,1.0
November-2017,-3.2
December-2017,-2.72
January-2018,-3.42
February-2018,2.56
March-2018,-2.32
April-2018,7.12
May-2018,0.63
June-2018,-10.67
July-2018,-2.38
August-2018,10.1
September-2018,-6.06
October-2018,-1.46
November-2018,-3.02
December-2018,10.49
January-2019,-5.2
February-2019,-3.23
March-2019,2.49
