State,count
TAMIL NADU,29
KARNATAKA,10
SIKKIM,7
DELHI,6
GOA,6
MAHARASHTRA,4
UTTARAKHAND,4
TELANGANA,2
WEST BENGAL,2
RAJASTHAN,1
KERALA,1
GUJARAT,1
BIHAR,1
MEGHALAYA,0
MADHYA PRADESH,0
ASSAM,0
ARUNACHAL PRADESH,0
PUDUCHERRY,0
CHANDIGARH,0
MIZORAM,0
ANDHRA PRADESH,0
HARYANA,0
JAMMU & KASHMIR,0
HIMACHAL PRADESH,0
TRIPURA,0
PUNJAB,0
NAGALAND,0
JHARKHAND,0
DADRA AND NAGAR HAVELI,0
ANDAMAN AND NICOBAR ISLANDS,0
JAMMU AND KASHMIR,0
CHHATTISGARH,0
MANIPUR,0
ODISHA,0
LAKSHADWEEP,0
DAMAN AND DIU,0
UTTAR PRADESH,0
