State,count
KARNATAKA,17
DELHI,15
NAGALAND,8
PUNJAB,7
MAHARASHTRA,6
UTTARAKHAND,5
TAMIL NADU,3
HIMACHAL PRADESH,3
KERALA,3
ASSAM,2
GUJARAT,2
UTTAR PRADESH,2
CHANDIGARH,2
SIKKIM,2
MADHYA PRADESH,2
TELANGANA,1
RAJASTHAN,1
HARYANA,1
ODISHA,1
MEGHALAYA,1
TRIPURA,1
WEST BENGAL,1
ANDHRA PRADESH,1
GOA,1
JAMMU AND KASHMIR,0
ANDAMAN AND NICOBAR ISLANDS,0
PUDUCHERRY,0
JHARKHAND,0
CHHATTISGARH,0
DADRA AND NAGAR HAVELI,0
ARUNACHAL PRADESH,0
MIZORAM,0
JAMMU & KASHMIR,0
DAMAN AND DIU,0
BIHAR,0
MANIPUR,0
LAKSHADWEEP,0
