State,count
MAHARASHTRA,4
MADHYA PRADESH,3
PUNJAB,1
DELHI,1
GUJARAT,1
KERALA,1
CHANDIGARH,1
HARYANA,1
RAJASTHAN,1
TAMIL NADU,1
MEGHALAYA,0
KARNATAKA,0
ANDAMAN AND NICOBAR ISLANDS,0
HIMACHAL PRADESH,0
PUDUCHERRY,0
ASSAM,0
GOA,0
ODISHA,0
JHARKHAND,0
UTTAR PRADESH,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
DAMAN AND DIU,0
BIHAR,0
CHHATTISGARH,0
UTTARAKHAND,0
NAGALAND,0
TELANGANA,0
MANIPUR,0
ARUNACHAL PRADESH,0
SIKKIM,0
JAMMU AND KASHMIR,0
WEST BENGAL,0
ANDHRA PRADESH,0
TRIPURA,0
LAKSHADWEEP,0
