State,count
DELHI,103
KERALA,25
JHARKHAND,21
UTTAR PRADESH,21
TAMIL NADU,19
ODISHA,19
BIHAR,17
ANDHRA PRADESH,14
GUJARAT,10
UTTARAKHAND,10
RAJASTHAN,10
MADHYA PRADESH,10
TELANGANA,10
KARNATAKA,10
MAHARASHTRA,7
HARYANA,7
WEST BENGAL,7
CHHATTISGARH,6
PUNJAB,5
HIMACHAL PRADESH,5
ASSAM,5
JAMMU AND KASHMIR,2
SIKKIM,2
JAMMU & KASHMIR,1
ANDAMAN AND NICOBAR ISLANDS,0
PUDUCHERRY,0
GOA,0
ARUNACHAL PRADESH,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
MEGHALAYA,0
DAMAN AND DIU,0
CHANDIGARH,0
NAGALAND,0
MANIPUR,0
TRIPURA,0
LAKSHADWEEP,0
